model_name,nickname,rouge-1,rouge-2,rouge-l,rouge_sum,status
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B,0.6089393696738038,0.05344021287018482,0.6089393696738038,1.2713189522177926,success
MLP-KTLim/llama-3-Korean-Bllossom-8B,Llama-3-Korean-8B,1.1608690491740874,0.03272670596543623,1.135551551551309,2.3291473066908326,success
Bllossom/llama-3.2-Korean-Bllossom-3B,Llama-3.2-Korean-3B,1.7347832566918848,0.10926134461372965,1.7127057360800617,3.556750337385676,success
upstage/SOLAR-10.7B-Instruct-v1.0,SOLAR-10.7B,0.0,0.0,0.0,0.0,success
