model_name,nickname,rouge-1,rouge-2,rouge-l,rouge_sum,status
gogamza/kobart-base-v2,KoBART-base,0.0,0.0,0.0,0.0,failed: 'summary'
ainize/kobart-news,KoBART-news,0.0,0.0,0.0,0.0,failed: add_prefix_space does not match declared prepend_scheme at line 1 column 26564
psyche/KoT5-summarization,KoT5-sum,0.0,0.0,0.0,0.0,failed: 'summary'
digit82/kobart-summarization,KoBART-sum,0.0,0.0,0.0,0.0,failed: 'summary'
